,workers,accuracy,simulation
1253,86,0.21,15
1254,87,0.28,15
1255,88,0.29,15
1256,89,0.29,15
1257,90,0.27,15
1258,91,0.16,15
1259,92,0.32,15
1260,93,0.36,15
1261,94,0.27,15
1262,95,0.33,15
1263,96,0.25,15
1264,97,0.21,15
1265,98,0.29,15
1266,99,0.34,15
1267,17,0.27,16
1268,19,0.29,16
1269,20,0.29,16
1270,23,0.24,16
1271,24,0.39,16
1272,25,0.17,16
1273,26,0.3,16
1274,27,0.28,16
1275,28,0.31,16
1276,29,0.24,16
1277,30,0.38,16
1278,31,0.33,16
1279,32,0.25,16
1280,33,0.34,16
1281,34,0.2,16
1282,35,0.21,16
1283,36,0.29,16
1284,37,0.19,16
1285,38,0.28,16
1286,39,0.39,16
1287,40,0.34,16
1288,41,0.22,16
1289,42,0.25,16
1290,43,0.31,16
1291,44,0.34,16
1292,45,0.27,16
1293,46,0.3,16
1294,47,0.31,16
1295,48,0.28,16
1296,49,0.22,16
1297,50,0.3,16
1298,51,0.21,16
1299,52,0.34,16
1300,53,0.32,16
1301,54,0.25,16
1302,55,0.29,16
1303,56,0.3,16
1304,57,0.28,16
1305,58,0.31,16
1306,59,0.29,16
1307,60,0.24,16
1308,61,0.19,16
1309,62,0.23,16
1310,63,0.28,16
1311,64,0.32,16
1312,65,0.25,16
1313,66,0.29,16
1314,67,0.33,16
1315,68,0.28,16
1316,69,0.35,16
1317,70,0.22,16
1318,71,0.22,16
1319,72,0.29,16
1320,73,0.32,16
1321,74,0.18,16
1322,75,0.38,16
1323,76,0.26,16
1324,77,0.18,16
1325,78,0.28,16
1326,79,0.34,16
1327,80,0.26,16
1328,81,0.31,16
1329,82,0.34,16
1330,83,0.3,16
1331,84,0.24,16
1332,85,0.21,16
1333,86,0.22,16
1334,87,0.21,16
1335,88,0.29,16
1336,89,0.22,16
1337,90,0.26,16
1338,91,0.31,16
1339,92,0.22,16
1340,93,0.35,16
1341,94,0.23,16
1342,95,0.25,16
1343,96,0.26,16
1344,97,0.26,16
1345,98,0.34,16
1346,99,0.3,16
1347,21,0.33,17
1348,23,0.34,17
1349,24,0.28,17
1350,25,0.23,17
1351,26,0.23,17
1352,27,0.28,17
1353,28,0.28,17
1354,29,0.28,17
